# ZL_VMIT_A0p2_B160_PP_Crust_Gamma_1p33.lorene converted to units with G=c=Msun=1
#
# rho0=nB*mB           epsl=(rho-rho0)/rho0    P
#
3.1259862290008304e-15 1.1829856005896033e-07 2.6367434259150589e-21
3.6041369219339083e-15 2.4234497009167910e-07 3.1877689293626422e-21
4.1554255202842485e-15 3.7241850381342090e-07 3.8539475047645942e-21
4.7910391943056896e-15 5.0881200563956952e-07 4.6593437914117940e-21
5.5238763032391568e-15 6.5183254838174776e-07 5.6330514465307417e-21
6.3688081386921110e-15 8.0180212336244949e-07 6.8102441072817378e-21
7.3429807042720699e-15 9.5905836827725466e-07 8.2334459823422298e-21
8.4661626554171842e-15 1.1239553254771550e-06 9.9540679711707938e-21
9.7611464600853369e-15 1.2968642391086860e-06 1.2034264800811953e-20
1.1254210920961973e-14 1.4781743908898193e-06 1.4549180266349685e-20
1.2975654445040772e-14 1.6682939782963757e-06 1.7589661680741672e-20
1.4960409882091859e-14 1.8676510302739757e-06 2.1265541589208457e-20
1.7248753408791050e-14 2.0766943737982047e-06 2.5709605294880599e-20
1.9887121843728591e-14 2.2958946432893867e-06 3.1082387516242846e-20
2.2929054978879502e-14 2.5257453399873953e-06 3.7577971447981005e-20
2.6436282050047967e-14 2.7667639428408108e-06 4.5430999707063882e-20
3.0479974393774333e-14 3.0194930740190529e-06 5.4925150423311217e-20
3.5142189710578065e-14 3.2845017212679295e-06 6.6403384659710277e-20
4.0517537242633239e-14 3.5623865173306513e-06 8.0280335334211725e-20
4.6715097656934446e-14 3.8537730835397355e-06 9.7057285173053735e-20
5.3860636593694006e-14 4.1593174400222921e-06 1.1734027475031136e-19
6.2099156798986896e-14 4.4797074798541558e-06 1.4186199473773378e-19
7.1597840631476228e-14 4.8156645200414516e-06 1.7150825318751356e-19
8.2549442654814289e-14 5.1679449257768795e-06 2.0734997393638315e-19
9.5176201160802304e-14 5.5373418097470761e-06 2.5068188202239046e-19
1.0973434799893483e-13 5.9246868222562199e-06 3.0306927356339093e-19
1.2651930822923667e-13 6.3308520199534257e-06 3.6640455958455741e-19
1.4587169511372963e-13 6.7567518322597664e-06 4.4297562635056148e-19
1.6818422210149063e-13 7.2033451179454033e-06 5.3554848161049614e-19
1.9390967207058486e-13 7.6716373236251911e-06 6.4746717221938636e-19
2.2357008554483389e-13 8.1626827492797815e-06 7.8277458250112248e-19
2.5776735433975604e-13 8.6775869208022272e-06 9.4635847700119139e-19
2.9719543561203853e-13 9.2175090784518687e-06 1.1441280631908294e-18
3.4265443416938690e-13 9.7836647874327554e-06 1.3832274521688925e-18
3.9506683880977708e-13 1.0377328674371356e-05 1.6722937282891584e-18
4.5549624217031422e-13 1.0999837297465120e-05 2.0217689500669386e-18
5.2516892396320772e-13 1.1652592154520747e-05 2.4442773529005107e-18
6.0549873558242961e-13 1.2337062839096191e-05 2.9550813794546192e-18
6.9811579105851267e-13 1.3054790349187329e-05 3.5726330110766708e-18
8.0489954658031355e-13 1.3807390555342636e-05 4.3192403162143421e-18
9.2801693985875415e-13 1.4596557840862445e-05 5.2218732938341003e-18
1.0699663632856544e-12 1.5424068914082767e-05 6.3131381216494397e-18
1.2336283632246723e-12 1.6291786809397024e-05 7.6324550023234300e-18
1.4223240942632243e-12 1.7201665082344775e-05 9.2274821554627668e-18
1.6398827146237337e-12 1.8155752206538978e-05 1.1155837394844054e-17
1.8907190903735137e-12 1.9156196186642660e-05 1.3487179480105840e-17
2.1799233852666586e-12 2.0205249393168145e-05 1.6305724428419827e-17
2.5133643542434921e-12 2.1305273635086053e-05 1.9713287683888821e-17
2.8978084366983627e-12 2.2458745474907005e-05 2.3832962038192679e-17
3.3410570662476615e-12 2.3668261805775970e-05 2.8813564161504810e-17
3.8521049833928049e-12 2.4936545699238977e-05 3.4835010367520264e-17
4.4413227636799888e-12 2.6266452532341944e-05 4.2114815803539349e-17
5.1206672653580248e-12 2.7660976419374705e-05 5.0915951838492459e-17
5.9039242670989677e-12 2.9123256951590903e-05 6.1556345484522560e-17
6.8069882195719795e-12 3.0656586265553898e-05 7.4420364003590276e-17
7.8481847878037838e-12 3.2264416454985678e-05 8.9972699562215286e-17
9.0486427296017799e-12 3.3950367342328036e-05 1.0877515549537171e-16
1.0432722656481606e-11 3.5718234629333878e-05 1.3150694055656839e-16
1.2028511377844466e-11 3.7571998442009757e-05 1.5898920425155960e-16
1.3868391860014119e-11 3.9515832290559771e-05 1.9221469955550371e-16
1.5989700366178762e-11 4.1554112466757331e-05 2.3238364453195209e-16
1.8435484112425200e-11 4.3691427896508372e-05 2.8094707829751105e-16
2.1255374814800560e-11 4.5932590470698642e-05 3.3965927749728293e-16
2.4506595854087538e-11 4.8282645877861796e-05 4.1064112675272355e-16
2.8255123496452769e-11 5.0746884966201833e-05 4.9645673223837002e-16
3.2577025734344737e-11 5.3330855652511389e-05 6.0020604593074983e-16
3.7560005916427701e-11 5.6040375414179167e-05 7.2563684643288564e-16
4.3305182491070041e-11 5.8881544386713003e-05 8.7728012150316598e-16
4.9929140979305716e-11 6.1860759096088458e-05 1.0606137427666997e-15
5.7566299817474628e-11 6.4984726861672115e-05 1.2822603450972308e-15
6.6371638079030685e-11 6.8260480894144493e-05 1.5502265587468802e-15
7.6523840428538408e-11 7.1695396132387401e-05 1.8741922361031587e-15
8.8228923127671315e-11 7.5297205846425186e-05 2.2658601209288810e-15
1.0172441467490020e-10 7.9074019047498112e-05 2.7393785913289054e-15
1.1728417591561451e-10 8.3034338744125691e-05 3.3118527473597092e-15
1.3522395743604048e-10 8.7187081087014562e-05 4.0039623055071027e-15
1.5590780701584541e-10 9.1541595441224644e-05 4.8407086204852039e-15
1.7975545716436465e-10 9.6107685435109502e-05 5.8523178193287188e-15
2.0725084265399116e-10 1.0089563103354848e-04 7.0753326720581563e-15
2.3895192089503058e-10 1.0591621167921339e-04 8.5539326410054009e-15
2.7550199443459535e-10 1.1118073056426425e-04 1.0341529793478016e-14
3.1764276534434129e-10 1.1670104007488469e-04 1.2502698227563225e-14
3.6622938640668596e-10 1.2248956847837889e-04 1.5115506708504120e-14
4.2224781452969845e-10 1.2855934790123591e-04 1.8274338778419361e-14
4.8683481853943254e-10 1.3492404367143607e-04 2.2093302211334902e-14
5.6130104736315194e-10 1.4159798508162069e-04 2.6710350974657472e-14
6.4715762672067974e-10 1.4859619765306142e-04 3.2292268596378386e-14
7.4614682404427818e-10 1.5593443696104714e-04 3.9040692954204749e-14
8.6027740390310616e-10 1.6362922410673164e-04 4.7199400122524258e-14
9.9186539139158967e-10 1.7169788291360177e-04 5.7063110394566207e-14
1.1435810706835644e-09 1.8015857892872411e-04 6.8988134583272873e-14
1.3185031724828604e-09 1.8903036032069664e-04 8.3405245181534387e-14
1.5201813499835468e-09 1.9833320076401151e-04 1.0083523733193632e-13
1.7527082111498219e-09 2.0808804440664019e-04 1.2190774172124881e-13
2.0208023690497522e-09 2.1831685302409198e-04 1.4738396898549040e-13
2.3299041955638036e-09 2.2904265546341840e-04 1.7818420723094938e-13
2.6862862215756669e-09 2.4028959948885209e-04 2.1542106597527973e-13
3.0971804239706333e-09 2.5208300614698587e-04 2.6043966739306666e-13
3.5709249824467115e-09 2.6444942677605887e-04 3.1486623671054961e-13
4.1171334842399719e-09 2.7741670278103037e-04 3.8066684700006319e-13
4.7468900103960356e-09 2.9101402831588352e-04 4.6021844043627816e-13
5.4729740624276455e-09 3.0527201600905052e-04 5.5639469154393041e-13
6.3101198937421207e-09 3.2022276588516974e-04 6.7266981411000022e-13
7.2753155083907153e-09 3.3589993763483150e-04 8.1324406161961881e-13
8.3881473946513404e-09 3.5233882639262859e-04 9.8319545471892473e-13
9.6711979890422355e-09 3.6957644220159125e-04 1.1886632166176188e-12
1.1150503936410873e-08 3.8765159333653543e-04 1.4370695427428167e-12
1.2856084445462556e-08 4.0660497367372983e-04 1.7373877157194789e-12
1.4822550461523292e-08 4.2647925431116285e-04 2.1004662509037357e-12
1.7089807018337371e-08 4.4731917963458656e-04 2.5394207817099261e-12
1.9703863021559865e-08 4.6917166805426902e-04 3.0701078409642167e-12
2.2717764896690181e-08 4.9208591763671983e-04 3.7116976528809993e-12
2.6192673047745871e-08 5.1611351686609019e-04 4.4873666268594275e-12
3.0199102970999929e-08 5.4130856079126488e-04 5.4251345683347904e-12
3.4818356209411018e-08 5.6772777281222098e-04 6.5588768495922208e-12
4.0144170185770644e-08 5.9543063238520766e-04 7.9295481036005423e-12
4.6284620394242835e-08 6.2447950893451676e-04 9.5866616448552819e-12
5.3364313551024523e-08 6.5493980226816184e-04 1.1590078058951245e-11
6.1526916209218520e-08 6.8688008981765414e-04 1.4012167570832343e-11
7.0938070150506398e-08 7.2037228103116746e-04 1.6940424303824913e-11
8.1788753714982796e-08 7.5549177926759192e-04 2.0480626865396111e-11
9.4299157279828719e-08 7.9231765155940437e-04 2.4760659430760465e-11
1.0872315153100196e-07 8.3093280661938884e-04 2.9935131354889282e-11
1.2535343920153704e-07 8.7142418150132350e-04 3.6190962189045020e-11
1.4452749481947129e-07 9.1388293732608261e-04 4.3754133851661358e-11
1.6663441299930583e-07 9.5840466451946327e-04 5.2897853864979381e-11
1.9212280424777896e-07 1.0050895980222574e-03 6.3952424541354723e-11
2.2150989851168517e-07 1.0540428429559601e-03 7.7317174627860944e-11
2.5539204120389735e-07 1.1053746112528184e-03 9.3474884420832508e-11
2.9445679470099353e-07 1.1592004697849045e-03 1.1300922543462226e-10
3.3949689088533645e-07 1.2156416005479898e-03 1.3662584460481009e-10
3.9142631786727496e-07 1.2748250734850863e-03 1.6517785465910178e-10
4.5129886733154547e-07 1.3368841325720471e-03 1.9969665145493965e-10
5.2032951888481808e-07 1.4019584957953857e-03 2.4142917151102498e-10
5.9991909535196282e-07 1.4701946697119883e-03 2.9188293560171312e-10
6.9168268934514980e-07 1.5417462792874925e-03 3.5288050554232122e-10
7.9748243795949363e-07 1.6167744137651763e-03 4.2662532132992806e-10
9.1946531068448372e-07 1.6954479893367402e-03 5.1578129690146875e-10
1.0601066773523843e-06 1.7779441294356602e-03 6.2356904977899684e-10
1.2222605402377716e-06 1.8644485635075370e-03 7.5388224074468479e-10
1.4092174496564775e-06 1.9551560451551708e-03 9.1142822613094023e-10
1.6247712783315334e-06 2.0502707906038253e-03 1.1018981035653928e-09
1.8732962095626857e-06 2.1500069384654541e-03 1.3321722938022848e-09
2.1598355015024269e-06 2.2545890318439454e-03 1.6105690849563401e-09
2.4902038288110665e-06 2.3642525238682932e-03 1.9471451174033324e-09
2.8711052784860904e-06 2.4792443077807924e-03 2.3540586638855013e-09
3.3102693943276044e-06 2.5998232727881820e-03 2.8460088277367488e-09
3.8166080307581374e-06 2.7262608869162985e-03 3.4407665245633454e-09
4.4003961989946304e-06 2.8588418081862965e-03 4.1598164282471193e-09
5.0734805754417465e-06 2.9978645254842284e-03 5.0291330705475925e-09
5.8495199035181779e-06 3.1436420305714918e-03 6.0801191296639297e-09
6.7442621673338949e-06 3.2965025227451594e-03 7.3507398019356545e-09
7.7758641618390627e-06 3.4567901477362550e-03 8.8868942340522297e-09
8.9652599444062945e-06 3.6248657725093114e-03 1.0744073556573771e-08
1.0336585644747941e-05 3.8011077977095908e-03 1.2989365412581399e-08
1.1917669253736823e-05 3.9859130095816209e-03 1.5703877391860586e-08
1.3740595330299515e-05 4.1796974732826175e-03 1.8985666913313955e-08
1.5842356085846907e-05 4.3828974695998557e-03 2.2953283392936355e-08
